state,date,critical_staffing_shortage_today_yes,critical_staffing_shortage_anticipated_within_week_yes,total_adult_patients_hospitalized_confirmed_and_suspected_covid,total_adult_patients_hospitalized_confirmed_covid,total_pediatric_patients_hospitalized_confirmed_and_suspected_covid,total_pediatric_patients_hospitalized_confirmed_covid
WA,3/31/2021,7,10,435,368,9,7
WI,3/31/2021,9,13,293,263,8,2
WV,3/31/2021,14,15,275,242,6,3
WY,3/31/2021,3,4,26,21,0,0
AK,3/30/2021,1,2,35,35,0,0
AL,3/30/2021,26,29,425,360,8,1
AR,3/30/2021,13,16,190,140,11,3
AZ,3/30/2021,27,26,549,359,19,10
CA,3/30/2021,67,85,"2,573","2,240",50,43
CO,3/30/2021,5,4,388,351,19,4
CT,3/30/2021,4,4,586,525,10,6
DC,3/30/2021,0,0,165,138,29,9
DE,3/30/2021,0,0,133,123,7,6
FL,3/30/2021,6,24,"3,286","2,981",46,37
GA,3/30/2021,29,35,"1,308","1,158",40,16
HI,3/30/2021,2,3,45,39,5,0
IA,3/30/2021,1,1,200,190,6,1
ID,3/30/2021,2,3,160,148,0,0
IL,3/30/2021,9,8,"1,453","1,220",24,10
IN,3/30/2021,10,10,642,425,21,5
KS,3/30/2021,9,12,173,141,1,0
KY,3/30/2021,1,3,418,339,15,4
LA,3/30/2021,42,46,319,392,6,4
MA,3/30/2021,8,6,601,524,21,5
MD,3/30/2021,1,1,"1,286","1,020",16,6
ME,3/30/2021,1,1,94,79,0,0
MI,3/30/2021,3,3,"2,437","2,300",27,19
MN,3/30/2021,16,15,507,409,10,7
MO,3/30/2021,23,27,754,474,43,15
MS,3/30/2021,9,11,270,210,12,4
MT,3/30/2021,6,7,49,46,1,1
NC,3/30/2021,3,3,951,883,27,16
ND,3/30/2021,11,11,61,37,2,0
NE,3/30/2021,10,16,136,112,5,4
NH,3/30/2021,4,5,87,75,0,0
NJ,3/30/2021,6,5,"2,395","2,228",28,9
NM,3/30/2021,15,16,107,100,9,4
NV,3/30/2021,0,0,260,221,3,5
NY,3/30/2021,5,5,"5,384","4,816",102,44
OH,3/30/2021,8,14,"1,271",975,96,21
OK,3/30/2021,29,32,305,261,33,30
OR,3/30/2021,3,2,202,141,9,4
PA,3/30/2021,19,22,"2,503","2,125",88,27
PR,3/30/2021,0,0,210,187,18,9
RI,3/30/2021,3,3,174,138,2,2
SC,3/30/2021,20,20,485,453,5,5
SD,3/30/2021,0,0,89,66,9,2
TN,3/30/2021,17,37,899,809,16,13
TX,3/30/2021,104,122,"3,492","2,988",96,63
UT,3/30/2021,1,0,130,125,6,0
VA,3/30/2021,15,22,"1,005",856,25,14
VI,3/30/2021,1,1,7,7,0,0
VT,3/30/2021,2,1,27,26,0,0
WA,3/30/2021,8,9,456,361,5,3
WI,3/30/2021,11,14,300,271,5,1
WV,3/30/2021,13,16,262,248,4,2
WY,3/30/2021,3,4,21,18,0,0
AK,3/29/2021,1,1,32,31,0,0
AL,3/29/2021,24,28,431,352,7,0
AR,3/29/2021,15,19,176,137,9,2
AZ,3/29/2021,26,28,559,370,12,5
CA,3/29/2021,69,85,"2,525","2,234",48,38
CO,3/29/2021,5,4,379,343,30,5
CT,3/29/2021,4,4,585,532,8,4
DC,3/29/2021,0,0,170,136,32,11
DE,3/29/2021,0,0,138,123,7,5
FL,3/29/2021,9,25,"3,296","2,989",35,28
GA,3/29/2021,30,35,"1,285","1,154",40,16
HI,3/29/2021,1,2,48,40,3,0
IA,3/29/2021,1,1,197,185,5,1
ID,3/29/2021,2,3,173,160,1,0
IL,3/29/2021,13,15,"1,408","1,197",28,11
IN,3/29/2021,9,10,608,407,13,4
KS,3/29/2021,11,13,170,140,2,0
KY,3/29/2021,1,3,384,335,11,2
LA,3/29/2021,43,47,328,397,6,3
MA,3/29/2021,7,6,636,540,38,6
MD,3/29/2021,1,1,"1,311","1,022",13,5
ME,3/29/2021,1,0,98,78,1,0
MI,3/29/2021,3,3,"2,312","2,170",21,15
MN,3/29/2021,17,17,428,355,8,7
MO,3/29/2021,24,26,666,484,45,18
MS,3/29/2021,9,11,286,218,8,4
MT,3/29/2021,6,7,50,46,2,1
NC,3/29/2021,3,3,904,853,25,15
ND,3/29/2021,11,11,66,38,2,0
NE,3/29/2021,8,15,113,98,4,3
NH,3/29/2021,3,4,93,76,1,0
NJ,3/29/2021,5,7,"2,369","2,194",27,11
NM,3/29/2021,14,14,118,109,9,5
NV,3/29/2021,0,0,255,221,9,6
NY,3/29/2021,4,5,"5,511","4,863",103,46
OH,3/29/2021,9,14,"1,333",961,86,26
OK,3/29/2021,30,35,308,268,33,30
OR,3/29/2021,3,2,205,148,8,3
PA,3/29/2021,18,21,"2,296","1,990",72,22
PR,3/29/2021,0,0,195,154,16,5
RI,3/29/2021,3,3,163,124,1,1
SC,3/29/2021,20,20,507,473,6,5
SD,3/29/2021,1,1,83,60,7,0
TN,3/29/2021,15,35,881,787,11,9
TX,3/29/2021,105,123,"3,584","3,074",88,60
UT,3/29/2021,0,0,131,127,7,0
VA,3/29/2021,16,23,998,860,26,15
VI,3/29/2021,2,2,5,5,0,0
VT,3/29/2021,1,1,26,25,0,0
WA,3/29/2021,7,9,416,338,7,4
WI,3/29/2021,9,14,271,250,6,1
WV,3/29/2021,13,16,254,236,5,3
WY,3/29/2021,3,4,20,14,0,0
AK,3/28/2021,1,1,33,32,1,1
AL,3/28/2021,24,27,489,368,7,5
AR,3/28/2021,13,16,202,148,10,2
AZ,3/28/2021,27,27,590,398,9,5
CA,3/28/2021,73,87,"2,584","2,269",54,45
CO,3/28/2021,7,6,402,355,20,6
CT,3/28/2021,4,4,549,512,14,6
DC,3/28/2021,0,0,160,135,30,11
DE,3/28/2021,0,0,141,126,7,4
FL,3/28/2021,10,27,"3,245","2,903",37,29
GA,3/28/2021,29,34,"1,273","1,125",56,12
HI,3/28/2021,1,1,51,40,1,0
IA,3/28/2021,1,1,203,192,4,4
ID,3/28/2021,4,4,168,161,2,0
IL,3/28/2021,12,15,"1,383","1,177",35,11
IN,3/28/2021,9,11,649,431,15,6
KS,3/28/2021,11,14,181,147,2,1
KY,3/28/2021,1,4,384,333,11,2
LA,3/28/2021,43,47,329,405,5,3
MA,3/28/2021,10,9,641,552,27,7
MD,3/28/2021,2,2,"1,296",997,11,4
ME,3/28/2021,1,2,97,78,1,1
MI,3/28/2021,2,3,"2,096","1,960",26,14
MN,3/28/2021,16,16,410,341,9,7
MO,3/28/2021,22,26,749,507,39,15
MS,3/28/2021,9,12,285,233,7,5
MT,3/28/2021,6,6,46,44,2,1
NC,3/28/2021,2,3,896,826,17,13
ND,3/28/2021,12,12,63,36,2,0
NE,3/28/2021,8,16,116,98,3,3
NH,3/28/2021,4,4,82,70,0,0
NJ,3/28/2021,8,10,"2,297","2,114",29,5
NM,3/28/2021,15,15,114,111,8,5
NV,3/28/2021,0,0,266,225,4,2
NY,3/28/2021,4,5,"5,289","4,789",99,41
OH,3/28/2021,10,16,"1,311",923,99,27
OK,3/28/2021,31,34,299,273,32,29
OR,3/28/2021,3,3,191,132,5,3
PA,3/28/2021,18,22,"2,232","1,900",69,34
PR,3/28/2021,0,0,179,161,22,9
RI,3/28/2021,3,3,164,126,1,1
SC,3/28/2021,20,20,493,454,4,4
SD,3/28/2021,0,0,87,63,7,0
TN,3/28/2021,14,33,850,791,14,11
TX,3/28/2021,106,123,"3,627","3,079",90,59
UT,3/28/2021,0,0,140,135,7,0
VA,3/28/2021,16,23,"1,058",855,26,13
VI,3/28/2021,2,2,4,4,0,0
VT,3/28/2021,1,1,27,26,0,0
WA,3/28/2021,3,5,403,339,8,5
WI,3/28/2021,6,11,283,265,7,1
WV,3/28/2021,15,16,259,229,1,1
WY,3/28/2021,3,4,20,16,0,0
AK,3/27/2021,1,1,26,22,1,1
AL,3/27/2021,26,27,473,353,7,5
AR,3/27/2021,13,17,205,149,9,3
AZ,3/27/2021,27,27,586,377,7,4
CA,3/27/2021,70,82,"2,630","2,298",56,48
CO,3/27/2021,5,4,408,357,17,8
CT,3/27/2021,4,4,532,490,7,4
DC,3/27/2021,0,0,168,137,36,12
DE,3/27/2021,0,0,141,127,5,3
FL,3/27/2021,9,27,"3,212","2,866",31,28
GA,3/27/2021,28,33,"1,298","1,147",50,14
HI,3/27/2021,1,2,51,42,0,0
IA,3/27/2021,1,1,205,185,6,6
ID,3/27/2021,3,4,161,159,0,0
IL,3/27/2021,13,14,"1,400","1,162",31,13
IN,3/27/2021,11,11,621,428,18,6
KS,3/27/2021,10,12,184,150,3,1
KY,3/27/2021,1,5,401,340,10,4
LA,3/27/2021,43,47,331,406,8,3
MA,3/27/2021,10,9,648,551,26,8
MD,3/27/2021,1,1,"1,237",958,16,5
ME,3/27/2021,1,1,94,79,2,1
MI,3/27/2021,3,3,"1,829","1,697",21,14
MN,3/27/2021,16,15,425,353,6,6
MO,3/27/2021,22,27,779,504,42,14
MS,3/27/2021,9,11,285,233,12,6
MT,3/27/2021,7,7,49,44,1,1
NC,3/27/2021,2,3,872,807,17,13
ND,3/27/2021,11,11,65,38,4,1
NE,3/27/2021,9,18,112,101,5,4
NH,3/27/2021,3,3,92,74,1,0
NJ,3/27/2021,8,10,"2,240","2,070",33,18
NM,3/27/2021,15,16,125,115,10,5
NV,3/27/2021,0,0,274,225,2,2
NY,3/27/2021,4,5,"5,303","4,763",100,45
OH,3/27/2021,11,16,"1,333",919,87,21
OK,3/27/2021,30,33,307,264,29,28
OR,3/27/2021,3,3,175,130,8,2
PA,3/27/2021,18,21,"2,265","1,861",60,33
PR,3/27/2021,0,0,171,166,20,9
RI,3/27/2021,3,3,157,120,1,1
SC,3/27/2021,20,20,500,458,5,5
SD,3/27/2021,0,0,76,43,6,0
TN,3/27/2021,13,32,834,766,12,11
TX,3/27/2021,110,125,"3,555","3,057",103,62
UT,3/27/2021,0,0,145,137,8,0
VA,3/27/2021,15,22,999,836,26,11
VI,3/27/2021,2,2,2,2,0,0
VT,3/27/2021,1,1,24,24,0,0
WA,3/27/2021,4,4,410,336,12,7
WI,3/27/2021,7,11,276,253,5,1
WV,3/27/2021,15,16,241,223,2,1
WY,3/27/2021,3,4,17,16,0,0
AK,3/26/2021,2,2,26,24,5,1
AL,3/26/2021,27,29,458,379,11,10
AR,3/26/2021,12,15,209,157,9,0
AZ,3/26/2021,25,27,595,391,11,6
CA,3/26/2021,63,84,"2,677","2,370",64,51
CO,3/26/2021,6,5,420,374,20,7
CT,3/26/2021,4,4,539,475,8,5
DC,3/26/2021,0,0,146,132,29,10
DE,3/26/2021,0,0,141,123,3,2
FL,3/26/2021,12,28,"3,274","2,935",38,29
GA,3/26/2021,30,36,"1,323","1,163",30,13
HI,3/26/2021,1,1,46,35,1,0
IA,3/26/2021,1,1,206,198,5,2
ID,3/26/2021,3,4,162,159,0,0
IL,3/26/2021,11,13,"1,390","1,131",29,11
IN,3/26/2021,11,12,647,447,16,7
KS,3/26/2021,11,12,169,144,2,1
KY,3/26/2021,1,3,420,358,12,3
LA,3/26/2021,42,47,350,418,4,2
MA,3/26/2021,10,9,649,550,40,7
MD,3/26/2021,2,2,"1,212",940,17,6
ME,3/26/2021,3,2,92,75,1,1
MI,3/26/2021,4,3,"1,928","1,778",24,15
MN,3/26/2021,15,16,444,364,9,8
MO,3/26/2021,19,24,777,500,41,15
MS,3/26/2021,8,12,304,252,17,8
MT,3/26/2021,6,7,39,37,2,1
NC,3/26/2021,3,3,916,845,19,13
ND,3/26/2021,12,12,76,38,3,1
NE,3/26/2021,8,17,116,104,5,4
NH,3/26/2021,5,5,87,77,0,0
NJ,3/26/2021,10,10,"2,225","2,050",32,8
NM,3/26/2021,15,15,126,118,9,6
NV,3/26/2021,0,0,299,236,7,2
NY,3/26/2021,4,5,"5,378","4,803",110,48
OH,3/26/2021,11,16,"1,281",943,95,22
OK,3/26/2021,32,34,330,274,36,30
OR,3/26/2021,2,3,144,107,8,3
PA,3/26/2021,19,22,"2,233","1,834",56,30
PR,3/26/2021,0,0,172,158,21,7
RI,3/26/2021,4,4,163,125,2,2
SC,3/26/2021,20,20,524,479,9,9
SD,3/26/2021,2,2,72,52,2,0
TN,3/26/2021,12,32,855,782,15,12
TX,3/26/2021,113,126,"3,788","3,262",97,62
UT,3/26/2021,0,0,138,133,8,0
VA,3/26/2021,16,23,"1,029",838,19,10
VI,3/26/2021,2,2,4,4,0,0
VT,3/26/2021,1,1,26,26,0,0
WA,3/26/2021,5,5,423,341,10,8
WI,3/26/2021,6,12,280,259,7,2
WV,3/26/2021,14,15,267,239,3,2
WY,3/26/2021,3,4,31,18,1,0
AK,3/25/2021,1,1,24,23,0,0
AL,3/25/2021,25,28,486,405,14,9
AR,3/25/2021,14,18,218,155,9,0
AZ,3/25/2021,24,27,609,387,15,9
CA,3/25/2021,64,81,"2,747","2,387",46,38
CO,3/25/2021,6,5,405,358,22,7
CT,3/25/2021,4,4,508,465,9,5
DC,3/25/2021,0,0,167,140,30,11
DE,3/25/2021,1,1,126,109,4,3
FL,3/25/2021,8,26,"3,171","2,849",40,31
GA,3/25/2021,30,36,"1,377","1,211",33,14
HI,3/25/2021,2,3,44,34,3,0
IA,3/25/2021,1,1,207,203,6,4
ID,3/25/2021,3,4,157,142,0,0
IL,3/25/2021,10,14,"1,325","1,079",33,14
IN,3/25/2021,10,10,633,436,15,7
KS,3/25/2021,12,14,207,168,3,2
KY,3/25/2021,2,4,403,342,15,3
LA,3/25/2021,42,47,355,426,4,1
MA,3/25/2021,10,9,614,524,41,7
MD,3/25/2021,3,2,"1,073",801,9,2
ME,3/25/2021,3,2,90,75,1,1
MI,3/25/2021,3,3,"1,875","1,724",18,12
MN,3/25/2021,19,19,435,352,12,9
MO,3/25/2021,20,24,786,503,38,15
MS,3/25/2021,9,11,305,258,16,9
MT,3/25/2021,6,6,48,44,3,1
NC,3/25/2021,4,3,921,853,22,16
ND,3/25/2021,11,11,69,35,3,1
NE,3/25/2021,8,17,112,104,5,4
NH,3/25/2021,4,5,77,70,0,0
NJ,3/25/2021,9,10,"2,230","2,073",37,5
NM,3/25/2021,15,15,140,124,11,4
NV,3/25/2021,0,0,287,256,3,1
NY,3/25/2021,4,5,"5,425","4,846",113,51
OH,3/25/2021,10,15,"1,356",919,115,33
OK,3/25/2021,31,34,350,286,32,28
OR,3/25/2021,3,3,167,134,6,1
PA,3/25/2021,19,22,"2,192","1,781",41,24
PR,3/25/2021,0,0,175,143,17,7
RI,3/25/2021,4,4,159,123,2,2
SC,3/25/2021,21,21,508,474,12,12
SD,3/25/2021,2,3,73,48,1,0
TN,3/25/2021,12,33,831,751,14,11
TX,3/25/2021,112,125,"3,814","3,352",94,54
UT,3/25/2021,0,0,129,124,8,0
VA,3/25/2021,15,23,"1,021",805,16,9
VI,3/25/2021,2,2,5,5,0,0
VT,3/25/2021,1,1,25,25,0,0
WA,3/25/2021,7,8,399,330,12,10
WI,3/25/2021,9,15,297,271,6,2
WV,3/25/2021,13,14,275,246,3,2
WY,3/25/2021,3,4,24,17,0,0
AK,3/24/2021,1,1,31,29,0,0
AL,3/24/2021,28,29,507,408,11,10
AR,3/24/2021,14,18,217,156,5,0
AZ,3/24/2021,25,26,631,419,16,10
CA,3/24/2021,66,80,"2,825","2,463",48,37
CO,3/24/2021,6,5,368,317,23,4
CT,3/24/2021,4,4,495,446,6,4
DC,3/24/2021,0,0,175,147,33,11
DE,3/24/2021,1,1,113,104,5,3
FL,3/24/2021,10,27,"3,268","2,931",45,37
GA,3/24/2021,30,36,"1,407","1,204",25,9
HI,3/24/2021,1,2,46,36,3,1
IA,3/24/2021,2,2,211,204,8,3
ID,3/24/2021,3,4,157,149,1,1
IL,3/24/2021,11,12,"1,297","1,028",46,19
IN,3/24/2021,11,12,628,420,12,6
KS,3/24/2021,13,15,212,180,5,2
KY,3/24/2021,2,4,423,362,7,2
LA,3/24/2021,42,46,369,449,7,4
MA,3/24/2021,10,9,604,530,31,7
MD,3/24/2021,3,3,"1,177",904,10,5
ME,3/24/2021,3,1,101,82,0,0
MI,3/24/2021,3,3,"1,754","1,626",30,15
MN,3/24/2021,18,19,404,338,12,11
MO,3/24/2021,21,25,800,503,46,13
MS,3/24/2021,9,11,311,255,19,9
MT,3/24/2021,6,6,47,47,2,2
NC,3/24/2021,3,3,956,878,24,18
ND,3/24/2021,11,11,62,34,0,0
NE,3/24/2021,8,18,131,115,6,3
NH,3/24/2021,4,5,93,77,0,0
NJ,3/24/2021,8,10,"2,228","2,039",26,3
NM,3/24/2021,14,14,116,113,6,4
NV,3/24/2021,0,0,286,247,2,1
NY,3/24/2021,5,5,"5,370","4,827",110,55
OH,3/24/2021,12,16,"1,356",912,104,27
OK,3/24/2021,28,33,325,290,32,24
OR,3/24/2021,4,4,166,123,6,3
PA,3/24/2021,20,24,"2,144","1,720",48,25
PR,3/24/2021,7,7,162,125,22,4
RI,3/24/2021,4,4,149,115,1,1
SC,3/24/2021,21,21,526,481,13,12
SD,3/24/2021,1,2,72,49,2,1
TN,3/24/2021,17,37,873,787,15,11
TX,3/24/2021,110,124,"3,890","3,351",102,55
UT,3/24/2021,0,0,143,132,8,0
VA,3/24/2021,16,24,"1,014",804,19,10
VI,3/24/2021,2,2,4,4,0,0
VT,3/24/2021,1,1,23,23,0,0
WA,3/24/2021,4,5,383,313,16,11
WI,3/24/2021,8,14,295,277,5,1
WV,3/24/2021,13,14,262,232,2,1
WY,3/24/2021,3,4,27,15,1,1
AK,3/23/2021,1,1,37,36,0,0
AL,3/23/2021,26,29,480,398,7,4
AR,3/23/2021,14,18,206,149,6,0
AZ,3/23/2021,26,27,588,388,14,10
CA,3/23/2021,65,81,"2,921","2,519",47,36
CO,3/23/2021,5,4,378,323,5,0
CT,3/23/2021,4,4,471,423,5,3
DC,3/23/2021,0,0,170,146,28,9
DE,3/23/2021,1,1,116,102,3,3
FL,3/23/2021,7,25,"3,326","2,968",48,40
GA,3/23/2021,29,35,"1,354","1,174",32,13
HI,3/23/2021,1,2,41,32,0,0
IA,3/23/2021,2,1,193,187,6,3
ID,3/23/2021,2,3,143,137,2,1
IL,3/23/2021,7,9,"1,247","1,009",39,17
IN,3/23/2021,9,10,588,373,11,3
KS,3/23/2021,10,11,187,166,2,1
KY,3/23/2021,1,6,443,384,9,2
LA,3/23/2021,42,46,383,451,7,5
MA,3/23/2021,7,6,554,486,28,4
MD,3/23/2021,2,2,"1,196",909,12,7
ME,3/23/2021,2,2,94,81,0,0
MI,3/23/2021,4,3,"1,676","1,555",33,22
MN,3/23/2021,18,18,403,325,12,9
MO,3/23/2021,21,24,797,511,40,15
MS,3/23/2021,9,11,324,261,12,8
MT,3/23/2021,5,7,53,52,2,2
NC,3/23/2021,3,3,988,895,19,16
ND,3/23/2021,9,9,71,43,0,0
NE,3/23/2021,8,17,127,112,6,3
NH,3/23/2021,5,5,89,71,3,0
NJ,3/23/2021,7,9,"2,170","2,016",27,7
NM,3/23/2021,14,14,117,107,10,5
NV,3/23/2021,0,0,297,249,4,2
NY,3/23/2021,6,6,"5,420","4,803",110,60
OH,3/23/2021,9,15,"1,196",868,94,22
OK,3/23/2021,29,33,338,284,30,27
OR,3/23/2021,3,3,173,128,9,4
PA,3/23/2021,20,24,"1,980","1,653",33,20
PR,3/23/2021,0,0,128,95,20,6
RI,3/23/2021,4,4,146,110,1,1
SC,3/23/2021,20,20,514,481,9,8
SD,3/23/2021,1,1,63,46,3,1
TN,3/23/2021,16,35,873,775,17,11
TX,3/23/2021,115,127,"3,989","3,410",86,52
UT,3/23/2021,0,0,134,122,6,0
VA,3/23/2021,16,24,960,787,18,7
VI,3/23/2021,2,2,4,4,0,0
VT,3/23/2021,1,1,27,27,0,0
WA,3/23/2021,4,5,404,319,28,10
WI,3/23/2021,9,15,276,251,9,2
WV,3/23/2021,14,15,234,216,5,1
WY,3/23/2021,3,4,33,21,1,1
AK,3/22/2021,1,1,39,37,1,0
AL,3/22/2021,26,29,451,374,18,8
AR,3/22/2021,11,13,187,152,8,0
AZ,3/22/2021,26,26,598,385,9,9
CA,3/22/2021,92,107,"2,928","2,550",59,47
CO,3/22/2021,6,4,381,337,9,2
CT,3/22/2021,4,4,465,416,5,2
DC,3/22/2021,0,0,174,151,27,8
DE,3/22/2021,1,1,122,108,4,3
FL,3/22/2021,7,24,"3,231","2,932",41,37
GA,3/22/2021,30,36,"1,334","1,176",33,13
HI,3/22/2021,1,2,41,30,0,0
IA,3/22/2021,1,1,194,182,3,3
ID,3/22/2021,2,2,147,132,2,2
IL,3/22/2021,11,11,"1,264","1,028",35,16
IN,3/22/2021,9,11,580,379,14,4
KS,3/22/2021,9,10,181,155,3,0
KY,3/22/2021,0,3,441,388,12,2
LA,3/22/2021,42,46,380,444,12,5
MA,3/22/2021,7,6,538,463,32,5
MD,3/22/2021,2,2,"1,185",898,16,10
ME,3/22/2021,3,2,87,77,0,0
MI,3/22/2021,3,3,"1,586","1,436",28,21
MN,3/22/2021,18,18,388,321,9,7
MO,3/22/2021,22,23,750,496,42,17
MS,3/22/2021,9,11,334,261,10,8
MT,3/22/2021,7,7,42,41,3,2
NC,3/22/2021,2,2,934,870,21,16
ND,3/22/2021,10,10,77,42,0,0
NE,3/22/2021,7,16,120,113,7,5
NH,3/22/2021,3,4,83,64,1,1
NJ,3/22/2021,7,10,"2,101","1,975",21,2
NM,3/22/2021,15,15,137,122,10,6
NV,3/22/2021,0,0,302,266,4,3
NY,3/22/2021,6,6,"5,410","4,814",99,50
OH,3/22/2021,9,16,"1,152",859,121,28
OK,3/22/2021,29,34,331,286,34,30
OR,3/22/2021,3,3,165,122,6,2
PA,3/22/2021,21,26,"1,995","1,678",32,19
PR,3/22/2021,0,0,126,92,15,5
RI,3/22/2021,4,4,163,127,1,1
SC,3/22/2021,21,21,503,469,3,3
SD,3/22/2021,1,1,62,43,3,1
TN,3/22/2021,16,35,818,739,15,10
TX,3/22/2021,111,128,"3,965","3,445",82,55
UT,3/22/2021,0,0,139,130,7,0
VA,3/22/2021,17,24,"1,017",830,18,8
VI,3/22/2021,2,2,4,4,0,0
VT,3/22/2021,1,1,24,24,0,0
WA,3/22/2021,4,3,359,265,12,8
WI,3/22/2021,10,16,281,237,7,1
WV,3/22/2021,14,15,216,202,1,1
WY,3/22/2021,3,4,17,10,1,1
AK,3/21/2021,1,1,44,40,1,0
AL,3/21/2021,25,29,534,397,10,11
AR,3/21/2021,14,18,229,179,7,2
AZ,3/21/2021,24,26,652,417,11,5
CA,3/21/2021,93,106,"2,964","2,587",59,45
CO,3/21/2021,5,4,395,327,12,4
CT,3/21/2021,4,4,449,399,4,2
DC,3/21/2021,0,0,163,138,20,4
DE,3/21/2021,2,2,119,105,6,5
FL,3/21/2021,10,27,"3,267","2,928",37,34
GA,3/21/2021,29,35,"1,318","1,153",32,13
HI,3/21/2021,1,1,38,26,0,0
IA,3/21/2021,1,1,186,169,4,2
ID,3/21/2021,3,3,149,132,2,2
IL,3/21/2021,11,10,"1,216",981,35,16
IN,3/21/2021,9,11,538,362,11,7
KS,3/21/2021,11,13,193,163,4,0
KY,3/21/2021,1,4,465,404,7,3
LA,3/21/2021,41,46,376,437,10,6
MA,3/21/2021,10,9,562,487,27,20
MD,3/21/2021,3,3,"1,124",898,13,9
ME,3/21/2021,2,4,94,73,1,0
MI,3/21/2021,2,3,"1,451","1,318",27,21
MN,3/21/2021,19,19,384,318,8,4
MO,3/21/2021,21,24,744,508,41,18
MS,3/21/2021,8,10,325,260,7,4
MT,3/21/2021,6,7,43,43,1,0
NC,3/21/2021,3,3,939,856,25,19
ND,3/21/2021,11,11,74,42,1,1
NE,3/21/2021,8,15,123,114,3,2
NH,3/21/2021,3,4,84,69,2,1
NJ,3/21/2021,9,11,"2,075","1,902",36,17
NM,3/21/2021,13,14,132,125,9,3
NV,3/21/2021,0,0,331,271,2,0
NY,3/21/2021,6,6,"5,168","4,628",135,52
OH,3/21/2021,10,17,"1,142",844,73,27
OK,3/21/2021,28,33,328,280,35,30
OR,3/21/2021,4,3,169,122,7,1
PA,3/21/2021,18,23,"1,892","1,593",36,21
PR,3/21/2021,0,0,127,93,11,2
RI,3/21/2021,4,4,161,127,1,1
SC,3/21/2021,23,24,530,469,6,4
SD,3/21/2021,1,2,58,43,3,1
TN,3/21/2021,16,35,814,727,14,9
TX,3/21/2021,112,128,"3,892","3,401",95,60
UT,3/21/2021,0,0,159,138,7,0
VA,3/21/2021,16,22,"1,048",832,13,5
VI,3/21/2021,2,2,4,4,0,0
VT,3/21/2021,1,1,22,22,0,0
WA,3/21/2021,7,9,383,323,12,6
WI,3/21/2021,14,18,258,227,8,1
WV,3/21/2021,15,16,228,205,6,2
WY,3/21/2021,3,4,20,16,1,0
AK,3/20/2021,1,1,40,36,1,0
AL,3/20/2021,26,28,521,393,10,10
AR,3/20/2021,16,19,253,191,10,2
AZ,3/20/2021,24,27,637,427,17,8
CA,3/20/2021,93,111,"3,062","2,670",64,51
CO,3/20/2021,6,5,405,345,18,5
CT,3/20/2021,4,4,457,406,4,2
DC,3/20/2021,0,0,180,145,20,5
DE,3/20/2021,2,2,114,102,5,2
FL,3/20/2021,9,26,"3,274","2,936",46,37
GA,3/20/2021,28,34,"1,334","1,163",28,7
HI,3/20/2021,1,1,32,23,0,0
IA,3/20/2021,1,1,184,170,5,3
ID,3/20/2021,3,3,139,129,2,2
IL,3/20/2021,9,11,"1,182",963,30,13
IN,3/20/2021,10,11,572,380,13,6
KS,3/20/2021,11,13,192,166,2,0
KY,3/20/2021,0,4,468,398,12,4
LA,3/20/2021,41,46,361,435,3,3
MA,3/20/2021,11,9,552,464,24,21
MD,3/20/2021,2,2,"1,100",866,11,7
ME,3/20/2021,1,2,91,72,0,0
MI,3/20/2021,2,3,"1,326","1,215",25,18
MN,3/20/2021,19,19,382,319,13,8
MO,3/20/2021,22,26,772,520,51,19
MS,3/20/2021,7,12,313,254,4,2
MT,3/20/2021,7,7,43,43,0,0
NC,3/20/2021,2,3,922,850,30,18
ND,3/20/2021,11,11,79,47,4,2
NE,3/20/2021,9,17,132,112,5,3
NH,3/20/2021,3,4,78,67,2,1
NJ,3/20/2021,9,11,"2,070","1,894",25,9
NM,3/20/2021,14,15,143,132,8,5
NV,3/20/2021,0,0,326,278,6,0
NY,3/20/2021,5,6,"5,108","4,572",130,45
OH,3/20/2021,10,18,"1,160",850,63,30
OK,3/20/2021,29,33,343,287,31,29
OR,3/20/2021,4,4,184,117,5,1
PA,3/20/2021,19,22,"1,967","1,575",71,23
PR,3/20/2021,0,0,137,94,13,2
RI,3/20/2021,4,4,160,125,1,1
SC,3/20/2021,23,24,537,483,4,4
SD,3/20/2021,1,2,60,46,2,1
TN,3/20/2021,15,35,760,689,18,10
TX,3/20/2021,107,126,"3,925","3,457",109,57
UT,3/20/2021,0,0,163,149,10,0
VA,3/20/2021,16,22,"1,009",805,18,8
VI,3/20/2021,2,2,4,4,0,0
VT,3/20/2021,1,1,24,25,0,0
WA,3/20/2021,7,8,386,332,11,7
WI,3/20/2021,13,17,254,227,10,1
WV,3/20/2021,15,16,249,209,2,2
WY,3/20/2021,3,4,20,13,1,0
AK,3/19/2021,1,1,37,36,0,0
AL,3/19/2021,24,28,505,423,17,11
AR,3/19/2021,14,17,249,193,9,2
AZ,3/19/2021,24,26,703,458,18,8
CA,3/19/2021,92,110,"3,138","2,750",66,57
CO,3/19/2021,7,6,411,338,16,5
CT,3/19/2021,4,4,474,420,6,5
DC,3/19/2021,0,0,188,156,17,4
DE,3/19/2021,2,2,116,99,5,5
FL,3/19/2021,11,29,"3,422","3,039",43,33
GA,3/19/2021,30,36,"1,423","1,216",43,15
HI,3/19/2021,1,2,33,21,2,0
IA,3/19/2021,1,1,179,170,4,2
ID,3/19/2021,3,3,143,135,3,2
